"graph","annotation_text"
"graf_1","Pozn.: Pro bližší detail lze kategorie rozkliknout."
"graf_2","Pozn.: Ministerstvo školství, mládeže a tělovýchovy zkresluje graf vzhledem k zahrnutí učitelů v kategorii “Příspěvkové organizace”. Lze odflitrovat v legendě nebo v grafu."
"graf_3","Pozn.: Průměrné platy se liší dle typu organizací i napříč jednotlivými organizacemi."
"graf_4","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie. Graf A14 s kapitolami ministerstev vnitra a zahraničních věcí je v příloze."
"graf_5","Pozn.: Reálné hrubé měsíční platy jsou uvedeny v cenách roku 2023."
"graf_6","Pozn.: Pro ministerstva a ostatní ústřední orgány použité hodnoty průměrné mzdy v Praze. V ostatních případech je jako reference použitý průměrný plat v národním hospodářství. Hodnota 100% znamená, že průměrný plat v kategorii je stejný jako průměrný plat v národním hospodářství."
"graf_A1","Pozn.: Pro bližší detail lze kategorie rozkliknout."
"graf_A2","Pozn.: Ministerstvo školství, mládeže a tělovýchovy zkresluje graf vzhledem k zahrnutí učitelů v kategorii “Příspěvkové organizace”. Lze odflitrovat v legendě nebo v grafu."
"graf_A3",
"graf_A4","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie."
"graf_A5","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie."
"graf_A6","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie."
"graf_A7","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie."
"graf_A8","Pozn.: Pro srovnatelnost v čase graf nezahrnuje zaměstnance ministerstev vnitra a zahraničních věcí, viz Příloha 1: Data a metodologie."
"graf_A9",
"graf_A10",
"graf_A11",
"graf_A12",
"graf_A13",
"graf_A14","Pozn.: Zahrnuty kapitoly ministerstva vnitra a zahraničních věcí"
"graf_A16","Pozn.: Zdroj: Statistické ročenky České republiky za jednotlivé roky, zde například údaje za rok 2020:<br><a href=""https://www.czso.cz/csu/czso/10-trh-prace-o73cun42om"" target=""_blank"">https://www.czso.cz/csu/czso/10-trh-prace-o73cun42om</a>"
"graf_A15","Zdroj: vlastní výpočet z dat ČSÚ (sady 110079 Mzdy, náklady práce - časové řady a 010022 Indexy spotř. cen)"
"graf_A17","Pozn.: Změna v roce 2012 způsobena změnou klasifikace některých zaměstnanců MV a MZV"
