"graph","graph_cat","graph_group","title","title_short","title_sub"
"graf_1","hlav",1,"Počet státních zaměstnanců dle regulace zaměstnanosti (2023)","Státní zam. dle regulace","Počet"
"graf_2","hlav",2,"Počet státních zaměstnanců dle rozpočtových kapitol (2023)","Státní zam. dle rozpočtových kapitol","Počet"
"graf_3","hlav",3,"Průměrné platy státních zaměstnanců (2023)","Průměrné platy dle úřadů","Srovnání"
"graf_4","hlav",4,"Počet státních úředníků (v tisících)","Státní úředníci","Počet"
"graf_5","hlav",5,"Průměrné platy podle skupin", "Průměrné platy podle skupin","V reálném vyjádření"
"graf_6","hlav",5,"Průměrné platy podle skupin", "Průměrné platy podle skupin","Ve vztahu k průměrné mzdě"
"graf_A1","hlav",1,"Výdaje na platy státních zaměstnanců dle regulace zaměstnanosti (2023)","Státní zam. dle regulace","Výdaje na platy"
"graf_A2","hlav",2,"Výdaje na platy státních zaměstnanců dle rozpočtových kapitol (rok 2023, mld. Kč)","Státní zam. dle rozpočtových kapitol","Výdaje na platy"
"graf_A3","hlav",3,"Průměrné platy státních zaměstnanců ve vztahu k průměrné mzdě v národním hospodářství (2023)","Průměrné platy státních zam.","Ve vztahu k průměrné mzdě"
"graf_A4","hlav",4,"Výdaje na platy státních úředníků (2003-2023)","Státní úředníci","Výdaje na platy"
"graf_A5","dodat",7,"Blah long","blah short",
"graf_A6","dodat",8,"Blah long","blah short",
"graf_A7","dodat",9,"Blah long","blah short",
"graf_A8","dodat",10,"Blah long","blah short",
"graf_A9","dodat",11,"Blah long","blah short",
"graf_A10","dodat",12,"Blah long","blah short",
"graf_A11","dodat",13,"Blah long","blah short",
"graf_A12","dodat",14,"Blah long","blah short",
"graf_A13","dodat",15,"Blah long","blah short",
"graf_A14","dodat",16,"Blah long","blah short",
"graf_A15","dodat",17,"Blah long","blah short",
"graf_AX","dodat",18,"Blah long","blah short",
"graf_AX1","dodat",19,"Blah long","blah short",
