"graph","text"
"graf_1","<p>Státní rozpočet reguluje zaměstnanost v organizacích, které dohromady čítají cca 484 tisíc zaměstnanců.</p><p>Státní úředníci z těchto zaměstnanců tvoří pouze cca 16 % – a z těchto cca 76 tisíc zaměstnanců většina pracuje v tzv. neústřední státní správě, tj. v organizacích jako jsou finanční úřady či správy sociálního zabezpečení, tedy často na přepážkách mimo Prahu.</p>"
"graf_A1","Rozložení platových nákladů mezi jednotlivé kategorie zhruba odpovídá počtům zaměstnanců. Celkem výdaje na platy zaměstnanců regulovaných státním rozpočtem činí 258 miliard korun."
"graf_2","Za řízení zaměstnanost v jednotlivých oblastech veřejného sektoru zodpovídají správci rozpočtových kapitol. Při pohledu na jednotlivé kapitoly v počtu zaměstnanců dominuje Ministerstvo školství, přes které jdou výdaje na učitele v regionálním školství. Pokud odhlédneme od této skupiny (administrativně vedené jako příspěvkové organizace), jsou kapitolami s největším počtem zaměstnanců ministerstva vnitra a obrany (které zahrnují policisty a hasiče, resp. armádu), dále ministerstva práce a financí, které zahrnují zaměstnance velkých úřadů poskytujících služby po celé republice, často na přepážkách."
"graf_3","<p>Průměrné platy se výrazně liší jak mezi kategoriemi organizací, tak mezi organizacemi uvnitř těchto kategorií. Nejvyšší průměrné platy měli v roce 2023 zaměstnanci ministerstev (58 tis. Kč měsíčně), dále pak zaměstnanci ostatních ústředních orgánů (51 tis. Kč). </p><p>Velmi široký rozptyl měly průměrné platy organizací zařazených do kategorie Ostatní organizační složky státu (zde označené jako Ostatní vč. armády), což odráží velkou rozmanitost funkcí a personálního složení těchto organizací. Podobně, byť s nižším průměrným platem, tomu bylo u příspěvkových organizací.</p><p>Nejnižší platy pak mají zaměstnanci tzv. neústřední státní správy, tedy převážně organizací poskytujících přímé služby občanům. Zhruba uprostřed spektra průměrných platů se pak pohybují tzv. sbory (49 tis. Kč), které jsou si relativně podobné co do průměrného platu.</p>"
"graf_4","<p>V této části se zaměřujeme pouze na zaměstnance státu, které lze nazvat státními úředníky, tedy zaměstnance ústředních orgánů (ministerstev a ostatních) a neústřední státní správy.</p>V roce 2023 jich bylo celkem 62 579 (76,6 tis. pri započtení MZV a MV, které ale nejsou srovnatelné v čase). Z nich přes 48 tisíc pracovalo v neústřední státní správě, cca 9 900 na ministerstvech (22 tis. pri započtení MZV a MV, kde je ale zahrnuto velké množství civilních zaměstnanců bezpečnostních složek) a přes 4 tisíce na ostatních ústředních orgánech. </p><p>Tento počet v posledních třech letech klesl cca o 2 tisíce, především kvůli snižování počtů zaměstnanců v neústřední státní správě. Nejvyšší od roku 2003 byl celkový počet státních úředníků v roce 2019 (65,4 tis.), nejnižší naopak v roce 2011 (58 tis.)</p>"
"graf_5","Reálné průměrné platy (očištěné o inflaci, tj. vyjádřené v cenách roku 2023) od roku 2003 vzrostly u všech kategorií státních úředníků. Od roku 2020 ale celkově výrazně klesají, přičemž u zaměstnanců ministerstev pokles začal už v roce 2019. Tento pokles je výraznější než předchozí období poklesu po finanční krizi mezi lety 2009 a 2012."
"graf_6","<p>Platovou atraktivitu státních institucí lze také měřit srovnáním úrovně průměrných platů se širší ekonomikou. U ministerstev a ostatních ústředních orgánů průměrný plat srovnáváme s průměrnou mzdou v Praze, pro ostatní kategorie s průměrnou mzdou v ČR.</p><p>V tomto srovnání je patrné, že práce v těchto skupinách veřejných institucí ztrácí platovou atraktivitu už od roku 2017 či 2018.</p><p>Zvláště u ministerstev a ústředních orgánů je nutné vzít potaz, že tyto organizace vyžadují např. vyšší úroveň vzdělání, než je běžné v pracovní síle jako celku, proto je i toto srovnání nedokonalé.</p>"
"graf_A1"," "
"graf_A2"," "
"graf_A3","<p>Při srovnání s národním hospodářstvím se průměrné mzdy v jednotlivých kategoriích a kapitolách také výrazně odlišují.</p><p>Průměrné platy zaměstnanců většiny ministerstev přesahují průměrnou mzdu v Praze, rozpětí ale sahá od -15 % do +14 %. Přesně důvody této platové nerovnosti nelze z dostupných dat vysledovat, obecně ale mohou hrát roli rozdílné složení personálů jednotlivých ministerstev (odborností i věkovou strukturou), ale také historické nerovnosti, které systém rozpočtování a platová politika jednotlivých úřadů v průběhu času zachovávají.</p><p>Naopak většina ostatních ústředních orgánů platové úrovně Prahy nedosahuje, přičemž rozpětí je ještě větší než u ministerstev (od -22 % do +22 % průměrné mzdy v Praze); zde se odráží ještě větší heterogenita funkcí a personálního složení těchto organizací. Podobně je tomu u tzv. ostatních organizací státní správy, kde ale průměrné platy srovnáváme s celou ČR. </p><p>Tzv. neústřední státní správa pak vykazuje průměrné platy typicky nižší než úroveň platů v pracovní sile ČR jako celku.</p>"
"graf_A4","<p>Podobný profil v čase jako počty úředníků mají i výdaje na jejich platy. Ty nejvíce rostly od roku 2011 do roku 2019, kdy růst nákladů odrážel růst počtů i reálných průměrných platů. Nárůst mezi lety 2021 a 2023 byl tažen především snahou alespoň částečně kompenzovat inflaci.</p><p>Vývoj očištěný o inflaci ukazuje graf <a href=#graf_A5>graf A5 níže.</a></p>"
"graf_A5"," "
"graf_A6"," "
"graf_A7"," "
"graf_A8"," "
"graf_A9"," "
"graf_A10"," "
"graf_A11"," "
"graf_A12"," "
"graf_A13"," "
"graf_A14"," "
"graf_A16"," "
"graf_A15"," "
"graf_A17"," "
